a0,a1,a2,a3,a4,a5,a6
16.926802,7.667874,18.982162,112.747505,112.62553,112.0993,101.05565
14.199318,8.954973,18.966124,109.70719,109.76263,110.645454,102.00027
18.0658,10.315741,17.527954,114.5621,112.08965,113.34035,104.09502
23.270214,17.33614,17.195545,117.67481,115.43172,114.63453,107.38297
22.83168,13.822096,17.355429,117.53672,117.96766,112.30639,98.39078
28.888157,28.414686,17.777615,120.16398,121.97112,116.48887,98.686295
30.76222,40.001072,17.220343,127.58417,128.4937,105.06359,107.86701
35.482265,40.63012,18.560078,131.20499,129.66905,101.660355,104.05946
49.28105,62.409264,20.424082,134.31326,132.19531,107.01095,113.22678
68.66251,47.7725,23.264767,138.32068,136.02145,118.392365,98.240105
68.1676,62.960884,28.078545,130.33606,129.51805,109.736465,104.75826
86.18351,74.673904,30.900492,139.5343,142.42369,122.48597,113.398865
85.00615,80.59931,29.293098,131.86775,128.33083,118.83479,114.382454
98.925354,94.43867,33.3841,132.4087,130.10687,122.65883,118.28204
109.80936,109.260315,36.95506,131.51662,126.25719,124.97137,127.424545
123.85232,108.92648,40.40412,129.99582,130.94467,133.70229,118.04559
129.89484,117.556076,39.62188,129.88885,117.90028,143.03789,119.651955
139.8204,131.36992,43.51014,133.63863,126.35438,153.5786,140.08566
148.27895,145.94897,45.9673,126.99933,127.11903,157.12303,149.87645
154.11293,150.93108,49.336933,124.83233,128.00641,161.59323,157.89346
160.95004,158.80556,49.76742,119.81209,115.00716,157.33981,158.42732
157.29135,162.83585,50.163193,116.330666,109.317566,143.67801,151.75323
151.2095,152.09618,51.802483,111.34228,106.56372,137.92838,144.39822
149.86806,150.55211,50.33735,120.44979,114.5197,125.48125,138.91171
153.24463,153.74297,50.080353,119.30982,117.05295,123.15377,135.85454
152.0824,152.69499,50.65921,126.643486,119.57379,132.9387,144.32399
154.89052,157.32089,51.62808,123.24939,116.827484,137.21872,147.58235
158.39508,155.98378,49.664883,133.25348,130.59618,150.17389,152.03362
150.12924,144.06764,46.51952,131.68073,131.51186,155.1066,147.14111
138.7703,133.92323,45.289658,124.30102,128.80867,147.74225,134.72926
129.85066,116.14266,41.231133,125.81855,123.681595,141.7992,124.14046
108.74387,105.78159,39.210102,123.32435,119.72458,125.56014,123.427765
98.5805,99.82479,35.700596,133.84554,125.34478,121.15927,126.6881
87.284424,76.43639,28.99591,137.57426,131.84393,115.06368,109.30236
80.38068,65.542015,29.801535,128.03372,126.70963,119.63033,106.97113
61.710182,68.94649,25.264969,134.52701,130.57996,108.520256,115.1979
49.132263,72.82966,21.201593,130.94577,123.66696,105.0532,133.07547
35.163483,40.453186,19.266,130.22223,131.49127,99.44478,105.90537
29.119131,33.044586,17.772346,125.67097,130.76312,99.24093,106.72111
18.283562,14.402455,15.396538,116.827576,118.203735,105.6411,90.91459
15.230776,7.7040305,17.724667,115.76352,116.6667,110.07963,100.79774
16.221207,8.483968,17.200558,109.94786,113.08018,113.10288,105.79397
18.785604,10.792021,17.805164,119.23171,123.32221,112.59319,102.75616
18.829723,25.23433,16.43984,119.92112,123.05216,103.03839,97.69812
23.638325,28.72592,17.950497,122.82249,122.52759,99.35654,97.85392
31.191492,46.484436,20.625278,124.672295,124.75113,97.88259,108.381805
45.20438,59.75724,23.815964,132.22731,126.024536,100.88419,109.66365
56.04827,54.577248,26.737103,137.05257,131.27678,103.21238,99.80616
71.53823,59.06745,30.796276,128.01772,124.066826,116.693474,102.73194
78.015854,69.42122,35.980106,129.83636,121.47887,114.44129,100.42348
83.4846,87.47506,40.79524,117.3636,114.7087,110.40846,111.5626
100.888176,104.48472,41.512802,123.97911,120.5489,120.834564,114.94484
118.87822,119.58371,46.320282,119.331375,117.925095,133.59998,125.602776
126.712,130.94286,48.477177,123.035576,120.91817,143.01965,136.67183
138.36555,141.24077,49.724827,123.17819,120.234535,146.6175,143.459
148.89413,154.10133,49.84221,127.90267,125.35373,146.66983,147.46935
150.05768,152.63625,50.78944,119.16099,113.87695,137.53656,144.9383
153.02188,155.65405,51.863953,125.82183,120.02444,129.42303,136.98766
149.09207,150.52132,52.845264,122.18079,114.4319,135.10736,143.98177
146.54568,146.32028,53.233143,124.29861,113.90174,142.77728,146.71797
138.12961,139.9001,50.8038,124.961914,120.88572,143.47575,146.28197
124.34105,123.54907,48.852936,124.58826,125.07751,146.00908,132.87817
119.02483,112.27512,45.658363,119.988205,118.144005,136.52113,124.33965
103.68732,95.74449,43.670883,122.673935,122.47359,126.046394,117.84779
91.509056,76.21738,41.6861,120.7137,121.75866,119.91144,107.75014
72.04642,62.906803,34.894863,127.39045,123.43143,110.382614,103.79105
57.705982,51.294163,28.577982,128.0642,122.85933,108.88274,101.2712
42.883926,48.311058,26.013454,122.47837,115.71422,96.05912,103.44993
30.760637,29.572044,22.252613,123.33802,118.699776,91.162895,92.50988
23.930782,25.394022,21.570534,124.989494,121.05396,93.10514,98.77665
18.28244,11.567286,17.274006,120.94715,120.592285,101.97743,97.202385
17.505964,9.059222,16.09823,114.6498,111.312294,113.08812,104.935974
16.645588,6.4724474,16.628828,113.25909,109.75167,112.85305,103.584496
19.470318,9.06113,16.878643,115.03519,113.52688,114.37121,105.357025
21.867043,11.910704,17.433409,118.00471,122.20623,112.35058,96.37874
23.27877,35.467762,16.316462,121.8409,122.85742,100.36931,102.75422
27.121607,27.28351,18.662676,123.35378,127.14145,105.44335,99.15182
31.917479,50.08195,20.557161,127.095665,124.47318,95.13667,106.54846
46.599888,47.083843,23.987825,133.21776,129.06253,98.29894,95.14053
54.368996,60.40944,27.154776,127.95859,121.68848,103.05652,104.37235
72.88907,64.05359,31.825811,123.483185,121.87923,111.670906,103.14124
81.11727,79.35285,36.308052,136.01962,135.20375,113.72763,111.78701
89.95716,92.64145,40.02469,123.36653,119.59895,114.766655,113.056335
106.72725,108.84199,42.71602,116.87207,115.27136,125.641556,120.72786
120.160645,120.97584,46.238,125.59635,122.77356,137.69472,130.23758
128.78023,132.0894,47.439426,128.26747,126.61323,141.69469,139.13454
144.28403,144.37418,48.718166,127.18271,128.73444,149.24129,144.98308
150.39699,154.37216,49.618084,121.81043,120.283806,147.93417,148.7476
146.5374,150.01782,49.97054,120.40445,116.56762,135.87288,143.96616
149.1466,151.21513,51.871376,113.770035,116.96506,128.61847,140.87166
148.52795,148.6815,51.66021,117.110664,113.627525,136.35043,146.37328
147.44614,149.64102,51.47355,121.42448,119.11338,143.35109,148.7849
141.35916,145.37462,51.470627,123.22819,117.740326,143.64865,151.69199
128.40506,128.08842,50.418293,125.98468,128.40675,146.53503,135.51077
118.28042,112.20206,46.76439,125.18083,121.99034,136.47495,123.99794
96.4994,100.581276,43.466988,127.5092,126.51403,118.21683,123.574646
85.91679,78.75934,39.496906,128.66373,128.17722,116.61594,110.485886
78.432205,67.75429,34.882965,121.10594,122.33392,116.08353,108.64392
59.591137,51.641964,29.494974,130.56105,127.985565,107.31816,99.596634
44.701912,68.867424,24.676908,123.80724,114.79849,99.06902,123.63596
31.272242,43.029858,21.811796,121.92265,114.51393,90.78694,101.57532
25.406378,27.456696,19.84936,123.830055,119.4658,95.931244,99.38236
24.5991,20.706718,16.377277,117.98843,119.034225,107.14222,102.36672
18.121134,12.574775,14.818809,116.71608,118.78186,112.87061,107.446724
20.072346,11.266434,17.127724,117.56538,117.28049,117.94392,107.72898
19.378645,9.757697,15.930172,118.00681,117.61176,114.367134,103.2654
21.477919,19.028744,15.943046,121.54441,125.96685,107.62596,97.59487
26.593153,33.661556,17.15817,120.80305,124.22769,105.88915,103.80246
26.999613,28.035742,18.169537,126.03242,128.45993,97.8779,96.7715
35.206963,66.93366,20.040989,129.93042,124.86287,97.842926,119.17783
47.07375,42.243435,22.997934,131.17155,124.55367,97.78279,92.21638
58.187572,54.59513,27.020115,132.4076,125.63172,105.62361,96.980896
75.3827,64.91194,30.933214,127.683395,123.67475,114.37167,106.15291
81.55639,78.97816,35.961273,132.00047,130.41298,113.633804,110.55531
88.00047,92.46079,40.14837,120.5429,118.114044,111.92817,112.159515
104.45448,111.98416,42.82401,120.943054,116.80172,121.89614,122.46329
117.727974,123.15448,46.762405,126.683556,122.47291,133.50873,130.7517
129.69006,135.14838,47.90755,128.53935,125.77647,143.35886,142.22028
141.51283,144.53185,50.733185,123.92277,121.64618,146.52956,145.46193
147.63641,153.2863,52.083527,120.79041,115.522194,145.44614,149.2218
145.54364,149.37386,53.147915,120.623726,106.42522,137.22432,145.34532
144.53375,143.38795,52.79196,119.28233,109.181564,131.43845,144.00179
145.44653,147.44998,51.95324,117.038895,117.39649,137.2574,142.52858
144.94505,146.88197,53.283024,125.50595,118.82556,141.60004,144.7946
140.08017,139.23271,51.81988,126.9987,128.96672,142.57027,142.80191
125.61852,122.023506,50.294285,125.493546,127.64688,143.24721,130.10759
