a0,a1,a2,a3,a4,a5,a6
43.214478,25.801437,125.63485,157.27547,122.44424,131.2726,123.42166
166.86774,175.76407,88.22002,119.36263,69.001015,167.63084,140.97281
18.158724,68.12481,72.03063,132.31134,110.031006,135.71266,102.27566
111.55573,111.18933,65.94972,33.345726,26.686176,129.42131,159.4901
90.14873,77.33302,136.92667,40.725006,177.3348,137.50542,135.56679
66.41245,58.606667,26.5504,107.30164,92.421936,144.9009,133.50418
57.486446,69.67144,66.97068,116.8311,106.55173,83.13783,137.9778
92.39712,70.902916,58.283928,112.40571,126.88434,123.14543,132.2767
93.71303,76.03752,25.579813,160.02911,142.29797,113.7831,125.78331
103.2072,81.89338,24.07637,158.70317,148.2022,151.75706,131.27538
106.59407,97.11565,26.885962,158.3369,149.28552,122.27269,124.223564
30.60232,67.12427,10.681188,177.70262,173.8414,127.517235,136.99532
87.439064,105.57214,42.26512,161.08824,72.702034,127.87605,121.41013
80.82276,27.92842,31.573624,63.98536,37.4648,139.7886,131.9486
54.26612,35.12432,111.22501,84.19383,90.039,96.59009,87.37234
49.012844,50.104244,113.121315,33.502335,54.04073,112.31152,80.38559
40.80321,66.26226,137.79001,145.0089,114.34779,133.6495,133.43091
25.132845,56.026886,24.212137,95.1423,46.6284,136.97086,89.91472
92.22492,124.30148,32.72993,167.5676,158.13266,135.93031,135.46913
56.333176,51.188522,17.883667,163.32884,170.46222,120.77591,132.70518
55.546276,65.375725,45.19892,150.51102,155.14044,115.81773,131.04222
49.756134,75.73814,68.390076,99.16118,140.85031,163.41672,134.6033
52.279568,63.758495,122.06614,144.3682,132.47118,81.246056,37.92393
61.245564,40.474068,131.44098,133.69254,112.75862,116.735054,105.3356
66.67759,41.67824,135.38663,131.75981,151.42073,113.273865,111.70155
28.37194,23.477062,92.06652,147.81558,127.4746,133.80383,132.82231
20.17141,23.588722,49.646088,86.668,156.85439,110.74623,152.04271
54.90812,23.977324,55.73221,173.40173,167.8891,169.20457,171.78867
50.96869,44.22639,75.23141,85.19029,64.01749,141.2205,128.26614
105.33,80.93122,21.143517,165.59372,155.31267,105.77582,108.485725
117.97091,112.55349,22.976868,163.45128,157.71733,88.70097,110.322296
117.10087,101.47759,26.609842,154.0367,146.88783,139.24408,128.18321
109.967186,88.52708,40.588676,3.5494995,73.260086,136.60478,105.48619
105.844086,85.834816,28.695139,154.42462,144.52782,123.94645,123.822105
26.457258,40.779087,62.660664,134.38495,145.50452,138.54779,135.62384
102.61252,157.13362,54.78484,108.8182,134.96222,78.24098,154.52856
50.22892,47.168663,66.71706,106.13914,61.820305,130.11873,103.03594
101.18082,93.44405,27.518137,158.14455,147.14772,128.47629,132.16936
83.12988,69.20068,76.09404,100.11187,113.6931,129.72688,100.14054
76.584885,125.73389,90.25741,111.675804,103.84458,110.83775,129.00314
54.53145,49.993935,69.01505,133.81058,114.50365,126.88152,123.43468
68.50601,55.441532,149.83179,132.5704,48.58553,105.24312,127.75725
26.106873,35.875507,35.221252,94.8167,50.266083,132.22871,126.82911
61.854477,59.826866,42.960655,39.019386,31.117353,133.11295,129.96036
22.312391,166.52084,82.96214,60.872158,71.60946,137.09512,146.5188
72.683044,42.767715,9.172775,174.23216,178.61026,117.694756,108.27502
81.509895,84.078995,28.448229,115.32727,74.300415,114.3509,134.65433
49.978497,50.587135,28.301949,167.20589,155.4674,143.54726,135.2735
65.73805,50.94993,76.5124,75.10735,66.871796,122.50873,125.54488
102.43549,97.941956,47.31067,103.44432,114.39852,142.2007,161.26895
65.15136,69.744064,34.241203,59.148556,53.43243,140.16121,123.67177
