a0,a1,a2,a3,a4,a5,a6
53.402206,73.52801,46.31787,149.35954,153.8389,118.31155,88.45263
45.95746,81.40656,35.316982,118.7257,145.04758,108.92687,110.06666
44.079243,79.3236,37.19674,103.62296,137.7767,103.73133,104.628716
34.982906,78.514984,41.724506,86.89696,123.90274,93.21554,105.45896
30.29175,78.18402,39.902603,87.0585,124.0539,87.08308,101.91383
21.019567,77.07533,40.87256,86.13374,120.80011,61.596226,102.0063
37.249374,82.61837,37.530216,85.913536,122.363434,94.45488,104.652534
33.532047,76.23925,41.2323,79.63009,112.4711,93.66928,92.194664
35.760647,70.202995,39.07818,77.74971,105.33942,105.75657,92.23103
34.727436,69.19033,34.961567,70.85173,86.470634,104.47076,91.24257
41.99378,77.24891,33.0099,64.017525,76.95912,110.00951,107.84009
47.919846,77.1338,33.087444,64.042114,71.70388,108.94375,98.61782
48.81424,73.675865,30.701183,66.27497,69.82401,106.342926,97.76382
75.530075,97.28785,26.326551,55.921253,59.71817,118.088326,111.235146
70.86176,92.500725,25.917376,56.678673,61.055016,114.38921,100.46429
61.147858,84.855675,26.456654,55.050133,58.45584,111.25015,94.95422
81.53981,103.855415,24.374727,48.242878,54.358414,118.47876,110.101166
51.074303,73.87145,24.953335,53.184498,55.47883,107.43771,84.65191
72.501884,90.183945,23.761354,53.492382,55.06006,115.32588,103.78606
71.765076,92.530136,23.535686,51.07162,50.416668,114.711136,105.0048
54.308308,73.41511,24.006525,59.527344,60.86265,111.98355,92.352905
67.89079,87.46598,25.839584,42.58906,48.323772,109.41403,92.805046
58.469448,79.43583,25.65329,50.922836,51.48627,110.17614,94.94366
63.674286,84.04822,25.950867,45.843586,50.11984,109.69864,96.77687
59.202553,85.906006,26.67924,51.235863,59.12682,116.07656,110.79954
65.72931,88.41661,26.33957,47.2228,53.810272,115.43239,109.08403
67.93881,90.42995,26.898796,46.615513,55.18686,117.70937,110.36154
74.92558,97.02211,26.127129,45.005547,50.678524,116.19077,109.08902
57.39653,80.354866,25.417233,52.588142,61.729984,114.4704,101.973236
32.406876,57.905926,25.677702,58.828526,69.70436,100.261116,92.42656
44.773796,67.52024,24.666616,59.08811,68.517525,113.538635,103.9326
55.79198,75.380005,23.215141,56.13884,60.64303,113.94961,102.86752
91.4685,115.336525,21.550024,44.26801,48.483257,117.682976,122.20022
86.44039,111.04022,21.968142,47.46624,48.517197,120.01044,117.2534
94.183365,114.061844,20.096443,47.976074,46.160385,119.07041,120.56051
80.77742,100.66266,22.609854,53.42059,54.896576,118.30263,111.923065
90.47267,114.45051,22.736721,50.521732,52.480286,118.65684,122.55337
73.66643,104.16777,25.174728,58.708683,64.8185,116.31616,122.3625
57.55829,88.27513,30.579496,67.97992,83.307434,116.03436,105.52007
42.877697,67.7839,35.02526,78.16099,92.039215,108.26044,82.60333
44.662838,73.99061,31.292265,86.909805,110.83546,109.026794,95.72298
38.31075,73.776,31.420351,86.7679,114.2064,104.563866,102.117935
48.082317,84.690834,31.726646,83.05131,109.11795,111.18555,112.24012
43.61935,76.32594,32.685772,90.83204,124.6252,109.3173,104.01108
46.76574,77.56885,33.767662,100.306526,134.24,111.98589,106.134
45.692776,70.70396,34.561516,102.85424,136.89726,111.66927,97.941185
48.46178,70.19928,41.50807,135.79364,150.38948,115.93472,88.323456
48.02931,67.53373,46.547764,156.87997,155.92021,115.18921,87.41102
46.616493,72.78917,40.036594,153.54521,151.07443,116.372604,97.270676
48.554058,75.40345,46.84778,159.71747,154.889,115.49676,92.526115
52.01817,76.88021,51.164608,160.9336,155.65395,117.88996,88.17581
47.528713,74.54621,48.182224,157.99971,152.84468,115.15207,90.5226
44.50755,74.16822,45.536083,155.32375,148.75946,113.99746,95.08119
50.018745,76.95898,51.75466,161.39806,155.3165,117.27359,97.07293
49.626144,74.15039,53.912468,159.71965,151.25536,114.64756,85.600075
46.957737,77.14311,51.694244,156.24307,146.17734,113.109146,97.512474
47.564426,74.5502,53.566082,159.74693,150.06758,114.938705,86.56086
51.275642,79.75559,56.430466,159.78741,147.58669,114.14853,94.04538
50.134193,79.66915,55.722305,163.52179,155.1305,116.679146,96.7131
50.46006,78.70429,57.26587,162.74419,154.4037,116.779236,94.14727
52.894627,81.97914,58.54295,162.58427,150.87267,118.33707,96.25556
52.69212,79.64313,59.719707,164.76053,155.47974,117.89175,90.35608
51.7138,78.489,57.179665,162.82709,151.38895,117.627106,89.97141
50.133923,78.84466,55.35167,161.90073,151.58516,117.39758,90.67359
49.754974,77.35105,52.732533,160.80777,149.50371,117.00925,88.55301
45.903862,71.44435,50.786854,157.6952,149.72594,118.071754,79.14961
47.84313,73.12037,49.349373,154.74721,146.65205,116.26995,92.84155
47.636272,74.49014,52.09805,155.52098,146.27155,114.15237,83.98194
45.6002,70.95201,40.06969,149.60403,142.46886,118.31556,83.746826
51.747803,73.93939,48.874428,157.97142,151.47636,120.3092,77.72813
42.422077,17.677233,43.886314,138.40762,164.83006,121.259155,44.197083
48.609314,67.50364,67.327545,85.69038,73.992325,155.1337,178.5803
106.77267,132.72928,80.49329,84.65882,108.14263,137.96983,134.38005
173.8097,144.70317,76.27877,29.604036,22.22474,140.07736,152.23354
65.490486,40.738598,57.198322,57.287415,68.84802,161.63,120.042206
124.20663,171.09784,91.84684,62.639683,50.585304,109.1422,153.1271
88.57341,135.33305,58.73191,107.58744,68.093666,132.71893,166.55286
134.73032,149.18018,64.57005,118.28365,133.49927,139.0378,136.97289
95.42863,107.01455,16.98998,136.08249,152.53958,126.813736,124.848885
46.645977,87.98825,54.95402,121.89692,119.59811,80.73997,96.42653
79.66946,85.93985,46.591904,143.38242,110.44127,78.78784,54.54292
10.504795,29.689226,74.93748,96.950195,53.454662,114.1628,117.91476
36.252357,106.762,70.15027,48.55318,33.120777,15.986962,86.60176
20.63717,95.0735,69.67652,56.52358,33.888702,55.878433,88.51046
76.12541,89.33307,47.257053,131.73848,164.25836,110.24686,125.553375
89.98851,88.500305,62.505634,130.16512,136.91508,70.414696,55.171963
34.809204,89.673904,89.95385,60.43286,46.432564,75.4378,47.55293
76.15325,63.448254,46.76426,109.34188,150.95819,131.05914,79.07879
82.838135,66.61914,97.74537,54.409836,54.133064,86.780106,22.592285
64.68131,63.647682,61.27301,49.067665,39.528526,102.44091,64.964745
48.551792,49.55468,90.22812,42.586056,62.670868,95.74263,43.268486
96.9224,90.1082,52.58152,51.052944,45.131397,126.288086,91.484314
80.92543,79.99157,45.427517,80.4227,77.75019,125.58538,91.78896
92.71736,79.359314,97.62029,39.315483,94.45028,114.11233,70.74748
58.309425,39.308704,17.121449,152.7159,171.39124,52.223858,63.06602
56.124126,55.41328,28.500324,50.95986,53.54577,104.082695,109.81105
52.31095,53.652214,28.33869,50.871605,52.678036,104.51623,109.40587
55.985577,54.879116,28.279654,49.673916,50.866093,104.679405,107.7044
51.555862,52.463757,28.619732,52.41927,55.143482,104.53381,108.29291
62.91849,63.03099,28.11093,50.804684,49.379337,108.400085,112.75168
50.791122,53.452415,27.904245,52.575558,52.334576,106.2939,110.885315
55.7177,57.43875,27.993273,49.527992,45.27247,107.42654,112.589935
36.594948,39.800983,29.785555,50.761505,51.6511,98.8366,102.78034
33.135273,37.111256,30.187178,54.629173,57.800438,98.955086,98.7978
37.286835,41.505028,30.58118,54.990482,58.605377,101.2667,106.73281
41.728714,44.38973,31.80111,54.651436,58.266994,104.30533,108.257675
42.582657,44.596706,35.570324,60.848213,65.18619,102.65295,107.986664
47.420628,49.103687,34.9286,62.3097,66.32879,112.30537,114.29744
45.70663,45.57971,36.035202,69.208336,74.225555,109.492065,105.49921
44.240322,43.870842,35.892944,76.10318,82.52326,113.56298,109.73626
53.53263,52.243507,35.24516,79.11794,85.48372,114.22165,118.13239
52.835796,51.539627,36.152233,89.54594,96.23033,116.072464,114.55158
52.850174,54.87412,34.26426,95.20202,111.26949,119.01002,118.185585
55.18105,56.910366,38.10522,104.287506,124.90807,120.8853,120.29312
59.86154,60.203854,37.777493,116.8105,125.48969,122.787994,122.76803
59.7789,56.482918,34.409363,123.71701,126.19418,128.38472,124.51956
73.66195,71.679596,38.083324,131.04076,124.376724,130.99474,133.45279
56.270554,54.78693,32.130436,123.36987,125.21527,126.66683,126.97275
61.361656,59.910763,33.2149,126.29695,128.21503,131.46455,132.57086
63.847553,60.74274,32.63238,129.04742,125.045044,133.68527,135.733
57.20187,56.75066,32.400204,129.93085,131.33401,129.0149,130.08563
59.89364,59.807823,32.81168,132.04279,133.53937,131.3971,131.65782
57.03797,57.00055,31.813322,125.12339,128.03366,128.91397,128.24364
65.281876,65.058945,31.996452,126.10855,124.818855,131.35843,134.75586
67.86255,63.37099,32.13296,128.23035,125.7695,132.57611,135.88637
72.99807,69.535965,32.585182,132.57195,127.011566,131.30208,135.48483
69.32158,65.5702,31.875257,125.73159,121.34366,129.72276,134.00632
73.00737,71.737114,36.78359,131.983,121.75444,128.50131,133.59415
67.82413,67.085335,32.33192,131.14723,126.83221,129.08897,134.65703
66.507286,67.12127,34.817364,133.62442,128.31053,124.535355,132.04427
65.151924,64.66977,32.012634,131.60216,131.13179,125.886475,132.7882
61.661522,63.04077,32.236507,130.98082,130.85742,126.62957,134.04414
64.44955,64.15499,33.127403,135.18752,135.34377,130.0641,134.1857
67.02624,65.626205,31.930323,130.26396,128.94829,131.50508,135.61766
69.21856,67.336754,32.66622,130.96274,127.618065,134.24387,137.24536
60.3924,59.44812,30.846458,126.857285,125.1925,131.3096,132.33621
62.35658,58.189022,30.71204,127.23001,131.51411,131.20404,132.51424
62.479652,60.28494,32.74094,128.07204,133.46767,131.16844,130.52037
77.21895,77.13083,39.247807,125.18646,118.53545,129.24309,134.52814
70.49318,69.77352,36.72147,111.41026,113.85809,130.03105,130.29883
67.15182,65.84825,38.13462,102.65484,116.937775,128.84517,124.79569
64.16621,64.4339,38.145164,105.02539,120.54843,121.951904,119.60502
55.048054,56.492542,37.801003,99.93586,105.98159,117.43753,115.45841
55.33863,56.92194,34.634342,92.57294,100.31583,123.940414,117.25413
55.428658,55.7953,32.727608,82.24238,92.8979,117.213104,117.151
54.364437,53.86516,32.46043,76.08288,81.58589,118.43322,115.353
57.13347,56.068146,33.420403,76.82076,85.95464,124.3995,122.08955
51.51341,50.67552,33.91935,74.90363,81.59062,120.19132,117.84507
51.152603,51.511646,36.196262,76.431694,82.92348,117.84637,117.28385
47.11798,46.85331,35.67584,72.430916,79.73006,109.860886,107.03786
