0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98
-1.8319919,-55.373203,-19.925776,-0.7296554,-57.717472,-19.728447,-0.17400923,-57.74036,-19.739923,0.42131677,-57.69737,-19.744743,-1.7743602,-57.643627,-16.876535,-1.9800637,-57.66312,-16.876661,-2.1665885,-57.65381,-16.886024,2.0233116,-56.044792,-14.019607,-1.5511421,-56.49662,-1.2091966,-0.76070815,-52.84124,-17.7171,-2.0849319,-53.043262,-14.074476,6.9427624,-40.046688,-16.836487,-4.243683,-39.907784,9.054207,2.3166568,-28.711016,-36.0117,-8.550258,-27.601099,-9.477452,1.0699207,-45.76795,-45.172752,-7.658744,-43.315605,-40.072224,0.5854802,-49.941715,-48.703617,-7.3391685,-47.213364,-45.03153,1.0264324,-50.553257,-47.70194,-6.7961345,-48.172657,-43.01554,1.0521294,-49.63553,-44.774708,-6.569893,-46.971455,-40.34554,3.8174033,0.2496567,-6.3112826,-3.8173995,-0.24966474,6.3112826,7.0139923,26.895899,-6.4465895,-7.542466,23.323236,9.134567,9.095208,51.760494,5.6137333,-9.476789,46.915104,27.06062,8.3453,55.59194,5.795547,-8.4977455,51.363403,28.111088,9.013459,58.499866,-10.590292,-14.107606,55.530834,15.754695
-2.3580787,-55.725098,-21.01119,-1.3135238,-58.26538,-20.85918,-0.81252956,-58.280025,-20.871786,-0.21225147,-58.2418,-20.875587,-2.2454767,-58.252953,-17.6663,-2.4261923,-58.30913,-17.66607,-2.643754,-58.316357,-17.67529,1.6128218,-56.43006,-15.660887,-2.0204923,-56.974243,-1.2634351,-1.4186745,-52.89186,-19.029552,-2.59914,-53.112324,-14.920087,6.804593,-40.079723,-19.273499,-4.686133,-39.89222,10.0332,2.51202,-28.784382,-43.859474,-9.100169,-27.086712,-4.2437353,0.7450537,-45.60679,-60.296833,-8.057239,-42.908234,-33.723305,0.14066403,-49.66189,-65.11424,-7.6497393,-46.87727,-38.700825,0.49378267,-50.4992,-63.704895,-7.062104,-47.883972,-36.984356,0.5445927,-49.667233,-59.946568,-6.8733892,-46.559235,-34.093624,3.8551662,0.28322133,-7.244347,-3.8551702,-0.28322133,7.244347,7.0394173,27.094778,-8.088321,-8.911015,22.879824,-4.4845676,8.873113,51.827484,8.066724,-9.675184,47.134224,11.96716,8.28048,55.444614,8.626673,-8.610928,51.823364,12.920976,8.472134,59.312992,-8.533176,-14.623957,55.72335,-0.90857816
-2.49882,-56.03761,-22.863934,-1.3771499,-58.474606,-22.498436,-0.7872186,-58.48478,-22.511133,-0.20367415,-58.41772,-22.516464,-2.3817322,-58.47029,-19.461302,-2.6038156,-58.507656,-19.459213,-2.806857,-58.535202,-19.468107,1.4466007,-56.909603,-16.214258,-1.968256,-57.411514,-2.5258596,-1.3516804,-53.009445,-20.49238,-2.6762276,-53.214615,-16.578678,6.7385306,-40.146053,-18.721018,-4.766956,-39.82965,8.6145115,2.0128534,-27.753311,-42.933613,-9.218296,-26.218065,-5.139967,0.56458503,-45.759903,-58.788692,-8.127735,-42.721165,-32.8965,0.09621825,-50.0627,-63.411766,-7.750453,-46.643192,-37.68458,0.6333992,-50.700577,-61.826588,-7.1334996,-47.674828,-35.979595,0.59920156,-49.698208,-58.38502,-6.9189816,-46.41606,-33.209587,3.848073,0.42772883,-6.3697286,-3.8480647,-0.42772883,6.3697286,7.43851,27.34794,-10.731363,-10.035869,21.466372,-11.625748,8.870184,52.095806,5.306463,-9.937288,46.10602,6.6667943,8.058666,55.746258,5.82144,-8.833921,50.500603,7.788068,9.253044,59.240852,-12.076509,-14.4602,55.55339,-6.813982
-2.8360462,-56.284706,-20.119339,-1.744574,-58.580624,-19.758533,-1.1697909,-58.515625,-19.769972,-0.47645777,-58.39616,-19.775612,-2.7811499,-58.6861,-16.653006,-2.957865,-58.74084,-16.651558,-3.1619132,-58.750175,-16.661129,1.3720473,-56.859024,-14.020905,-2.3522959,-57.45125,-0.008655566,-1.6863542,-52.99547,-17.9673,-3.0300367,-53.44928,-13.961606,6.5923796,-40.02723,-16.674856,-5.0492773,-39.957897,10.409704,1.6664482,-27.959282,-40.915905,-9.612681,-26.127043,-0.5818634,0.45849043,-46.210556,-57.15992,-8.472137,-42.352623,-24.137814,-0.06795031,-50.27541,-61.365093,-8.053341,-46.502937,-28.304264,0.43045264,-50.743668,-59.786503,-7.523333,-47.410217,-26.36261,0.46719298,-49.791233,-56.72025,-7.3412433,-46.28044,-24.21575,3.9444911,0.45986673,-5.4953785,-3.9444997,-0.4598751,5.4953785,7.792004,28.074757,-13.115891,-11.287472,20.864277,-25.887209,9.158211,52.180607,7.608835,-10.034382,46.429905,-6.6754193,8.26237,55.89595,8.635141,-8.629102,51.640438,-5.4566607,10.155604,59.340202,-9.755618,-14.765199,57.542027,-21.823362
-3.1523879,-56.360806,-20.755465,-2.0377405,-59.12231,-20.59245,-1.391847,-59.122105,-20.604,-0.71997684,-59.03354,-20.611326,-3.085514,-59.19983,-17.162903,-3.299002,-59.28368,-17.161741,-3.5084338,-59.31893,-17.171558,1.0795596,-57.59464,-15.136385,-2.5822134,-57.859455,0.4178744,-1.8967963,-53.265953,-18.640148,-3.3185542,-53.60442,-14.19625,6.4952917,-39.9434,-18.131533,-5.121187,-40.044804,12.759309,1.4769996,-27.164486,-43.523354,-10.094919,-25.217592,2.9800723,0.100775294,-47.5188,-59.589176,-8.914536,-42.166702,-20.53398,-0.38392833,-51.785046,-63.7688,-8.454287,-46.661503,-24.364735,0.20586841,-52.531433,-62.052036,-7.9144588,-47.65805,-22.260351,0.17559133,-51.146515,-59.072865,-7.73144,-46.319286,-20.55178,4.0731173,0.4299589,-7.093633,-4.073113,-0.4299676,7.093633,7.887558,28.45377,-16.188091,-12.231694,21.06503,-27.206367,9.24098,54.36784,4.0427713,-10.483156,48.11128,-8.643617,8.449144,57.902084,5.008964,-8.871659,53.778053,-7.4997435,9.226841,60.990696,-13.852755,-15.701162,58.659027,-23.910553
-3.6316092,-57.149452,-20.629202,-2.521025,-59.839653,-20.16544,-1.8840551,-59.82209,-20.177055,-1.2324226,-59.7153,-20.18491,-3.6166828,-59.83623,-16.799685,-3.849066,-59.878765,-16.799778,-4.0711436,-59.872673,-16.808813,0.5089823,-58.13219,-13.971454,-3.3456116,-58.37927,1.1583071,-2.3747547,-54.2247,-18.337658,-3.8977735,-54.32179,-14.024353,6.1268883,-39.936764,-18.089624,-5.864192,-40.062805,14.913257,0.79018015,-26.501984,-44.757683,-10.594136,-25.411379,10.027224,-0.6008558,-47.547115,-61.444984,-9.4120655,-42.865208,-6.070217,-0.8653397,-52.280838,-65.74572,-8.934693,-46.946327,-8.735307,-0.25224772,-52.76927,-64.14682,-8.295452,-47.678738,-6.2164097,-0.38339472,-51.19241,-61.03201,-8.099497,-46.4498,-5.730166,4.290276,0.4525032,-7.978043,-4.2902718,-0.4525032,7.978043,7.8239694,28.491882,-17.952427,-13.466299,20.424316,-31.267435,9.705066,56.20768,5.094069,-10.96899,49.73177,-13.584687,8.75251,58.81568,6.4651675,-9.357307,55.456715,-12.47892,9.942835,61.60587,-11.806055,-16.831038,59.070988,-29.260883
-4.239819,-57.440495,-23.058207,-3.0798402,-60.0989,-23.14931,-2.415378,-60.067314,-23.160538,-1.7117554,-59.94608,-23.168024,-4.1477284,-60.170174,-19.306505,-4.357432,-60.238396,-19.307293,-4.545212,-60.260685,-19.316595,0.17667238,-58.163063,-18.646862,-3.5847075,-58.630074,-1.2455032,-3.1225045,-54.0907,-21.314169,-4.3958416,-54.506004,-16.324038,5.939097,-39.94034,-23.225904,-6.217306,-40.059177,12.679872,0.7913718,-25.770586,-52.615852,-11.135474,-24.04322,0.10427402,-0.64154655,-46.380756,-69.97286,-10.35922,-41.74999,-26.933256,-1.1140926,-51.165916,-74.75059,-9.895592,-46.18162,-30.806995,-0.65266764,-51.6183,-72.59987,-9.265199,-46.972958,-28.498814,-0.7408901,-50.249218,-69.333084,-9.010929,-45.70831,-26.925844,4.161698,0.5408925,-9.571565,-4.161698,-0.5408834,9.571565,7.6617002,27.031364,-24.524494,-14.381117,18.73043,-28.26201,8.819686,55.585766,-9.207727,-11.784866,48.622574,-10.884961,8.470628,59.008495,-8.763518,-9.722387,54.72989,-9.876703,9.539217,61.94588,-27.967707,-18.6547,56.79457,-25.54013
-4.7063437,-58.619934,-19.116438,-3.5930076,-61.3106,-19.454048,-3.042267,-61.22166,-19.462833,-2.3846364,-61.104977,-19.46714,-4.518753,-61.518223,-15.391448,-4.688975,-61.61499,-15.392926,-4.8867216,-61.690094,-15.402782,-0.21196306,-59.01608,-16.253891,-3.8971233,-59.955536,1.9855131,-3.7563813,-55.356014,-17.877974,-4.928207,-56.069668,-12.659125,5.716102,-40.122925,-21.320595,-6.416473,-39.874,15.347735,0.62955695,-24.91625,-47.21459,-11.528536,-23.6717,2.515148,-1.4633061,-46.73839,-60.78009,-10.698511,-42.164402,-24.655155,-2.289483,-51.30899,-64.68247,-9.995608,-46.828876,-28.148613,-1.6389985,-52.707394,-62.109,-9.410093,-47.483906,-25.436424,-1.487745,-50.568245,-59.77751,-9.247288,-46.11618,-24.465906,4.395484,0.61132705,-9.047823,-4.395493,-0.6113176,9.047823,8.465621,27.478832,-22.911755,-15.341462,18.65732,-27.108791,9.434608,55.56547,0.8505558,-11.907749,47.94397,-4.7249317,8.65128,58.895195,2.223182,-9.976546,53.619938,-3.1464622,10.043285,62.295254,-16.336615,-17.459251,58.443798,-18.438414
-5.0003996,-57.024353,-16.920238,-3.9413185,-59.771816,-17.255545,-3.3477757,-59.768997,-17.258844,-2.6710024,-59.74119,-17.25944,-4.956154,-59.78927,-13.227287,-5.1781874,-59.843056,-13.229559,-5.431023,-59.864338,-13.238032,-0.50637776,-58.265686,-13.857621,-4.4432635,-58.534985,4.324271,-3.7989862,-53.838795,-15.602547,-5.063392,-54.294502,-10.390882,5.714012,-40.5513,-17.653063,-6.6063395,-39.44372,16.163017,1.0022624,-24.45801,-42.329617,-11.285665,-22.55221,-0.65760726,-1.0755175,-45.16109,-56.622932,-10.788688,-40.997158,-34.40179,-2.1046293,-49.558243,-60.51191,-10.018323,-44.989216,-39.215073,-0.9036632,-51.432274,-58.430504,-9.386204,-46.197407,-36.66255,-1.0170658,-49.686726,-55.83103,-9.255391,-45.04027,-34.46901,4.3762665,0.45931333,-7.9202957,-4.3762712,-0.45931333,7.9202957,8.427628,26.7705,-28.001451,-15.517956,18.296429,-26.324213,9.388802,54.486824,-6.821349,-11.763042,46.85566,-2.499672,8.560228,57.641167,-5.7473893,-10.705646,50.596653,-0.7620362,9.804071,62.873806,-25.055876,-18.178452,55.91671,-15.803764
-5.620722,-57.502007,-16.51351,-4.357327,-60.140617,-16.508736,-3.7174706,-60.15858,-16.510696,-3.0208378,-60.098328,-16.510763,-5.500093,-60.164406,-12.5396595,-5.7409973,-60.22109,-12.541787,-5.9844303,-60.2628,-12.551051,-0.93143284,-58.266037,-12.424139,-5.06402,-58.932297,5.491593,-4.3648095,-54.255676,-14.997989,-5.778717,-54.914463,-9.877088,5.2733216,-39.878376,-16.331457,-7.713972,-40.084385,16.240202,1.0285121,-23.680397,-41.00644,-12.097367,-21.393085,-2.01616,-2.2291667,-44.97873,-55.10215,-11.463654,-40.073856,-35.0612,-3.5264559,-49.590122,-58.90168,-10.678096,-44.191013,-39.677113,-2.9598198,-50.808197,-56.465977,-10.110455,-45.59738,-36.792374,-2.580286,-49.6689,-54.159946,-10.008055,-44.44476,-34.951088,4.599077,0.30553466,-7.503196,-4.599077,-0.30553466,7.503196,8.5947275,26.466496,-38.07205,-16.239101,17.615662,-31.996346,9.368033,53.086384,-12.164302,-12.335558,46.296173,-5.499389,8.532693,56.749214,-10.596379,-10.267488,50.773663,-3.5060506,10.098141,63.052612,-30.41216,-17.964909,56.23175,-19.218279
